id,rcd,symbol,hgncid,ensgstable,evidence,testin,pathway,confidence,experiments,caution,uniprotac,pmid,remark,latestupdate,datasource,uniformgenetype
238DRV,Ferroptosis,CGAS,HGNC:21367,ENSG00000164430,The CGAS-STING1 pathway promotes zalcitabine-induced ferroptosis.,Human,"CGAS :+: MDA, MDA :+: Ferroptosis",Validated,0,_NA_,Q8N884,32186434,_NA_,12/19/2021,FerrDb team,gene with protein product
239DRV,Ferroptosis,STING1,HGNC:27962,ENSG00000184584,The CGAS-STING1 pathway promotes zalcitabine-induced ferroptosis.,Human,"STING1 :+: MDA, MDA :+: Ferroptosis",Validated,0,_NA_,Q86WV6,32186434,_NA_,12/19/2021,FerrDb team,gene with protein product
240DRV,Ferroptosis,HDDC3,HGNC:30522,ENSG00000184508,"Ferroptosis-inducing erastin or cystine deprivation elevates MESH1, whose overexpression depletes NADPH and sensitizes cells to ferroptosis, whereas MESH1 depletion promotes ferroptosis survival by sustaining the levels of NADPH and GSH and by reducing lipid peroxidation.",Human,"HDDC3 :-: NADPH, NADPH :-: Ferroptosis, HDDC3 :-: GSH, GSH :-: Ferroptosis, HDDC3 :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,0,_NA_,Q8N4P3,32462112,MESH1 in article.,12/22/2021,FerrDb team,gene with protein product
241DRV,Ferroptosis,MIR761,HGNC:37305,ENSG00000283899,"Additionally, circ-TTBK2 knockdown or miR-761 increase could retard cell proliferation, invasion, and promote ferroptosis in glioma cells.",Human,"MIR761 :-: ITGB8, ITGB8 :-: Ferroptosis",Validated,0,_NA_,_NA_,32196629,_NA_,12/24/2021,FerrDb team,"RNA, micro"
242DRV,Ferroptosis,MDM2,HGNC:6973,ENSG00000135679,MDM2 and MDMX promote ferroptosis by PPARα-mediated lipid remodeling.,Human,"MDM2 :+: Lipid ROS, Lipid ROS :+: Ferroptosis, MDM2 :-: PPARα, PPARα :-: Ferroptosis",Validated,0,_NA_,Q00987,32079652,_NA_,12/30/2021,FerrDb team,gene with protein product
243DRV,Ferroptosis,MDM4,HGNC:6974,ENSG00000198625,MDM2 and MDMX promote ferroptosis by PPARα-mediated lipid remodeling.,Human,"MDM4 :+: Lipid ROS, Lipid ROS :+: Ferroptosis, MDM4 :-: PPARα, PPARα :-: Ferroptosis",Validated,0,_NA_,O15151,32079652,MDMX in article.,12/30/2021,FerrDb team,gene with protein product
244DRV,Ferroptosis,ALOX15,HGNC:433,ENSG00000161905,"Indeed, knocking down (KD) of 15-LOX in M2 RAW 264.7 macrophages and EOC 20 cells resulted in significantly reduced sensitivity to ferroptosis triggered by RSL3 (Figs. 1e,f and supplementary Fig. 1e, f).",Mice,ALOX15 :+: Ferroptosis,Validated,0,_NA_,P16050,32080625,15-LOX in article.,12/30/2021,FerrDb team,gene with protein product
245DRV,Ferroptosis,POR,HGNC:9208,ENSG00000127948,These data indicate that POR is a key enzyme involved in the execution of ML210/RSL3-induced ferroptotic cell death in melanoma and ccRCC cells.,Human,"POR :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,0,_NA_,P16435,32080622,_NA_,12/30/2021,FerrDb team,gene with protein product
246DRV,Ferroptosis,MIR214,HGNC:31591,ENSG00000283844,MicroRNA-214-3p enhances erastin-induced ferroptosis by targeting ATF4 in hepatoma cells.,Human,"miR-214 :+: Lipid ROS, Lipid ROS :+: Ferroptosis, miR-214 :+: malondialdehyde, malondialdehyde :+: Ferroptosis, miR-214 :+: Fe2+, Fe2+ :+: Ferroptosis, miR-214 :-: glutathione, glutathione :-: Ferroptosis, miR-214 :-: ATF4, ATF4 :-: Ferroptosis",Validated,0,_NA_,_NA_,31960438,_NA_,12/30/2021,FerrDb team,"RNA, micro"
247DRV,Ferroptosis,DLD,HGNC:2898,ENSG00000091140,DLD links to ferroptosis induced by cystine deprivation or import inhibition. DLD gene silencing caused a significant reduction in cellular and lipid ROS levels induced by cystine deprivation but did not change intracellular GSH contents.,Human,"DLD :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,0,_NA_,P09622,31931284,_NA_,12/30/2021,FerrDb team,gene with protein product
248DRV,Ferroptosis,LONP1,HGNC:9479,ENSG00000196365,Inhibition of LONP1 protects against erastin-induced ferroptosis in Pancreatic ductal adenocarcinoma PANC1 cells.,Human,"LONP1 :-: GPX4, GPX4 :-: Ferroptosis, LONP1 :+: ACSL4, ACSL4 :+: Ferroptosis, LONP1 :-: GSH, GSH :-: Ferroptosis, LONP1 :+: MDA, MDA :+: Ferroptosis, LONP1 :-: Nrf2, Nrf2 :+: GPX4, GPX4 :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,0,_NA_,P36776,31822343,_NA_,1/7/2022,FerrDb team,gene with protein product
249DRV,Ferroptosis,ACSL4,HGNC:3571,ENSG00000068366,ACSL4 suppresses glioma cells proliferation via activating ferroptosis.,Human,"ACSL4 :-: GPX4, GPX4 :-: Ferroptosis, ACSL4 :+: 5-HETE, 5-HETE :+: Ferroptosis, ACSL4 :+: 12-HETE, 12-HETE :+: Ferroptosis, ACSL4 :+: 15-HETE, 15-HETE :+: Ferroptosis",Validated,0,_NA_,O60488,31789401,_NA_,1/7/2022,FerrDb team,gene with protein product
250DRV,Ferroptosis,BACH1,HGNC:935,ENSG00000156273,These results showed that BACH1 promoted ferroptosis in MEFs.,Mice,"BACH1 :-: Gclm, Gclm :+: GSH, GSH :-: Ferroptosis, BACH1 :-: Src7a11, Src7a11 :+: GSH, GSH :-: Ferroptosis, BACH1 :-: Fth1, Fth1 :-: Fe2, Fe2 :+: Ferroptosis, BACH1 :-: Ftl1, Ftl1 :-: Fe2, Fe2 :+: Ferroptosis, BACH1 :-: Slc40a1, Slc40a1 :-: Fe2, Fe2 :+: Ferroptosis",Validated,0,_NA_,O14867,31740582,_NA_,1/7/2022,FerrDb team,gene with protein product
251DRV,Ferroptosis,DNAJB6,HGNC:14888,ENSG00000105993,DNAJB6 Promotes Ferroptosis in Esophageal Squamous Cell Carcinoma.,Human,"DNAJB6a :+: Lipid ROS, Lipid ROS :+: Ferroptosis, DNAJB6a :-: GSH, GSH :-: Ferroptosis, DNAJB6a :-: GPX4, GPX4 :-: Ferroptosis",Validated,0,_NA_,O75190,31701262,_NA_,1/7/2022,FerrDb team,gene with protein product
252DRV,Ferroptosis,WWTR1,HGNC:24042,ENSG00000018408,"TAZ removal confers ferroptosis resistance, while TAZS89A overexpression sensitizes cells to ferroptosis.",Human,"WWTR1 :+: ANGPTL4, ANGPTL4 :+: NOX2, NOX2 :+: Ferroptosis",Validated,0,_NA_,Q9GZV5,31641008,TAZ in article.,1/10/2022,FerrDb team,gene with protein product
253DRV,Ferroptosis,SIRT1,HGNC:14929,ENSG00000096717,Intestinal SIRT1 Deficiency Inhibits Hepatic Ferroptosis in Ethanol-Administrated Mice.,Mice,"SIRT1 :+: Fe/Fe2, Fe/Fe2 :+: Ferroptosis, SIRT1 :-: GSH, GSH :-: Ferroptosis, SIRT1 :+: Lipid ROS, Lipid ROS :+: Ferroptosis, SIRT1 :-: NADP+/NADPH, NADP+/NADPH :-: Ferroptosis",Validated,0,_NA_,Q96EB6,31610175,_NA_,1/10/2022,FerrDb team,gene with protein product
254DRV,Ferroptosis,ATM,HGNC:795,ENSG00000149311,"Taken together, we found ATM inhibition protects against ferroptosis by reducing the labile iron pool.",Human,"ATM :-: FPN1, FPN1 :-: Fe, ATM :-: FTH1, FTH1 :-: Fe, ATM :-: FTL, FTL :-: Fe, Fe :+: Ferroptosis, ATM :-: GPX4, GPX4 :-: Ferroptosis, ATM :-: SLC40A1, SLC40A1 :-: Fe, Fe :+: Ferroptosis",Validated,0,_NA_,Q13315,31320750,_NA_,1/10/2022,FerrDb team,gene with protein product
255DRV,Ferroptosis,PRKCA,HGNC:9393,ENSG00000154229,"Similarly, genetic knockdown of PKCα significantly protected RMS cells from Erastin-induced cell death.",Human,PRKCA :+: Ferroptosis,Validated,0,_NA_,P17252,31173656,PKCα in article.,1/10/2022,FerrDb team,gene with protein product
256DRV,Ferroptosis,LGMN,HGNC:9472,ENSG00000100600,Legumain promotes tubular ferroptosis by facilitating chaperone-mediated autophagy of GPX4 in AKI.,Mice,"LGMN :+: Lipid ROS, Lipid ROS :+: Ferroptosis, LGMN :+: MDA, MDA :+: Ferroptosis, LGMN :+: Acsl4, Acsl4 :+: Ferroptosis, LGMN :+: Cox-2, Cox-2 :+: Ferroptosis, LGMN :-: GPX4, GPX4 :-: Ferroptosis",Validated,0,_NA_,Q99538,33431801,_NA_,1/19/2022,FerrDb team,gene with protein product
257DRV,Ferroptosis,ACSL4,HGNC:3571,ENSG00000068366,ACSL4 promotes postischemic neuronal ferroptosis.,Mice,"ACSL4 :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,0,_NA_,O60488,33444733,_NA_,1/19/2022,FerrDb team,gene with protein product
258DRV,Ferroptosis,TP53,HGNC:11998,ENSG00000141510,p53 promotes RT-induced ferroptosis partly through antagonizing SLC7A11 induction.,Human,"TP53 :-: SLC7A11, SLC7A11 :-: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,0,_NA_,P04637,33927351,_NA_,1/26/2022,FerrDb team,gene with protein product
259DRV,Ferroptosis,IFNG,HGNC:5438,ENSG00000111537,IFNγ sensitized tumor cells to ferroptosis in vitro.,Human,"IFNG :+: Lipid ROS, Lipid ROS :+: Ferroptosis, IFNG :-: System Xc-, System Xc- :-: Ferroptosis, IFNG :+: ACSL4, ACSL4 :+: Ferroptosis, IFNG :-: GPX4, GPX4 :-: Ferroptosis",Validated,0,_NA_,P01579,34318944,IFNγ in article.,1/26/2022,FerrDb team,gene with protein product
260DRV,Ferroptosis,SMPD1,HGNC:11120,ENSG00000166311,"Importantly, genetic activation of ASM increases ferroptosis in cancer cells induced by various FINs.",Human,"SMPD1 :+: Lipid ROS, Lipid ROS :+: Ferroptosis, SMPD1 :-: System Xc-, System Xc- :-: Ferroptosis, SMPD1 :-: GSH, GSH :-: Ferroptosis, SMPD1 :-: GPX4, GPX4 :-: Ferroptosis",Validated,0,_NA_,P17405,33414455,ASM in article.,1/26/2022,FerrDb team,gene with protein product
261DRV,Ferroptosis,MYCN,HGNC:7559,ENSG00000134323,MYCN confers cell sensitivity to ferroptosis upon GPX4 inhibition.,Human,"MYCN :-: GPX4, GPX4 :-: Ferroptosis, MYCN :+: TFRC, TFRC :+: Fe2+, Fe2+ :+: Ferroptosis, MYCN :+: TFRC, TFRC :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,0,_NA_,P04198,34011924,_NA_,2/10/2022,FerrDb team,gene with protein product
262DRV,Ferroptosis,SLC11A2,HGNC:10908,ENSG00000110911,"Conversely, DMT1 knockdown by siRNA evidently blocked temozolomide-induced ferroptosis in TG905 cells.",Human,"SLC11A2 :+: MDA, MDA :+: Ferroptosis, SLC11A2 :+: iron content, iron content :+: Ferroptosis, SLC11A2 :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,0,_NA_,P49281,34427071,DMT1 in article.,2/10/2022,FerrDb team,gene with protein product
263DRV,Ferroptosis,IFNA1,HGNC:5417,ENSG00000197919,"Together, our results demonstrate that the autoantibodies and the increased IFN-α in SLE sera downregulate the expression of GPX4 and lead to neutrophil ferroptosis.","Human, mice","IFNA1 :-: GPX4, GPX4 :-: Ferroptosis",Deduced,0,_NA_,P01562,34385713,_NA_,2/10/2022,FerrDb team,gene with protein product
264DRV,Ferroptosis,IFNA2,HGNC:5423,ENSG00000188379,"Together, our results demonstrate that the autoantibodies and the increased IFN-α in SLE sera downregulate the expression of GPX4 and lead to neutrophil ferroptosis.","Human, mice","IFNA2 :-: GPX4, GPX4 :-: Ferroptosis",Deduced,0,_NA_,P01563,34385713,_NA_,2/10/2022,FerrDb team,gene with protein product
265DRV,Ferroptosis,IFNA4,HGNC:5425,ENSG00000236637,"Together, our results demonstrate that the autoantibodies and the increased IFN-α in SLE sera downregulate the expression of GPX4 and lead to neutrophil ferroptosis.","Human, mice","IFNA4 :-: GPX4, GPX4 :-: Ferroptosis",Deduced,0,_NA_,P05014,34385713,_NA_,2/10/2022,FerrDb team,gene with protein product
266DRV,Ferroptosis,IFNA5,HGNC:5426,ENSG00000147873,"Together, our results demonstrate that the autoantibodies and the increased IFN-α in SLE sera downregulate the expression of GPX4 and lead to neutrophil ferroptosis.","Human, mice","IFNA5 :-: GPX4, GPX4 :-: Ferroptosis",Deduced,0,_NA_,P01569,34385713,_NA_,2/10/2022,FerrDb team,gene with protein product
267DRV,Ferroptosis,IFNA6,HGNC:5427,ENSG00000120235,"Together, our results demonstrate that the autoantibodies and the increased IFN-α in SLE sera downregulate the expression of GPX4 and lead to neutrophil ferroptosis.","Human, mice","IFNA6 :-: GPX4, GPX4 :-: Ferroptosis",Deduced,0,_NA_,P05013,34385713,_NA_,2/10/2022,FerrDb team,gene with protein product
268DRV,Ferroptosis,IFNA7,HGNC:5428,ENSG00000214042,"Together, our results demonstrate that the autoantibodies and the increased IFN-α in SLE sera downregulate the expression of GPX4 and lead to neutrophil ferroptosis.","Human, mice","IFNA7 :-: GPX4, GPX4 :-: Ferroptosis",Deduced,0,_NA_,P01567,34385713,_NA_,2/10/2022,FerrDb team,gene with protein product
269DRV,Ferroptosis,IFNA8,HGNC:5429,ENSG00000120242,"Together, our results demonstrate that the autoantibodies and the increased IFN-α in SLE sera downregulate the expression of GPX4 and lead to neutrophil ferroptosis.","Human, mice","IFNA8 :-: GPX4, GPX4 :-: Ferroptosis",Deduced,0,_NA_,P32881,34385713,_NA_,2/10/2022,FerrDb team,gene with protein product
270DRV,Ferroptosis,IFNA10,HGNC:5418,ENSG00000186803,"Together, our results demonstrate that the autoantibodies and the increased IFN-α in SLE sera downregulate the expression of GPX4 and lead to neutrophil ferroptosis.","Human, mice","IFNA10 :-: GPX4, GPX4 :-: Ferroptosis",Deduced,0,_NA_,P01566,34385713,_NA_,2/10/2022,FerrDb team,gene with protein product
271DRV,Ferroptosis,IFNA13,HGNC:5419,ENSG00000233816,"Together, our results demonstrate that the autoantibodies and the increased IFN-α in SLE sera downregulate the expression of GPX4 and lead to neutrophil ferroptosis.","Human, mice","IFNA13 :-: GPX4, GPX4 :-: Ferroptosis",Deduced,0,_NA_,P01562,34385713,_NA_,2/10/2022,FerrDb team,gene with protein product
272DRV,Ferroptosis,IFNA14,HGNC:5420,ENSG00000228083,"Together, our results demonstrate that the autoantibodies and the increased IFN-α in SLE sera downregulate the expression of GPX4 and lead to neutrophil ferroptosis.","Human, mice","IFNA14 :-: GPX4, GPX4 :-: Ferroptosis",Deduced,0,_NA_,P01570,34385713,_NA_,2/10/2022,FerrDb team,gene with protein product
273DRV,Ferroptosis,IFNA16,HGNC:5421,ENSG00000147885,"Together, our results demonstrate that the autoantibodies and the increased IFN-α in SLE sera downregulate the expression of GPX4 and lead to neutrophil ferroptosis.","Human, mice","IFNA16 :-: GPX4, GPX4 :-: Ferroptosis",Deduced,0,_NA_,P05015,34385713,_NA_,2/10/2022,FerrDb team,gene with protein product
274DRV,Ferroptosis,IFNA17,HGNC:5422,ENSG00000234829,"Together, our results demonstrate that the autoantibodies and the increased IFN-α in SLE sera downregulate the expression of GPX4 and lead to neutrophil ferroptosis.","Human, mice","IFNA17 :-: GPX4, GPX4 :-: Ferroptosis",Deduced,0,_NA_,P01571,34385713,_NA_,2/10/2022,FerrDb team,gene with protein product
275DRV,Ferroptosis,IFNA21,HGNC:5424,ENSG00000137080,"Together, our results demonstrate that the autoantibodies and the increased IFN-α in SLE sera downregulate the expression of GPX4 and lead to neutrophil ferroptosis.","Human, mice","IFNA21 :-: GPX4, GPX4 :-: Ferroptosis",Deduced,0,_NA_,P01568,34385713,_NA_,2/10/2022,FerrDb team,gene with protein product
276DRV,Ferroptosis,SMG9,HGNC:25763,ENSG00000105771,SMG9 drives ferroptosis by directly inhibiting GPX4 degradation.,Human,"SMG9 :-: GPX4, GPX4 :-: Ferroptosis",Validated,0,_NA_,Q9H0W8,34146907,_NA_,2/23/2022,FerrDb team,gene with protein product
277DRV,Ferroptosis,NR1D1,HGNC:7962,ENSG00000126368,Kidney-specific loss of Rev-erbα attenuates AAI-induced ferroptosis and renal injury in mice.,Mice,"NR1D1 :-: GPX4, GPX4 :-: Ferroptosis",Validated,0,_NA_,P20393,34673015,REV-ERBα in article.,2/23/2022,FerrDb team,gene with protein product
278DRV,Ferroptosis,ACSL4,HGNC:3571,ENSG00000068366,ACSL4 positively regulated ferroptosis in lung adenocarcinoma.,Human,"ACSL4 :+: iron uptake, iron uptake :+: Ferroptosis, ACSL4 :+: Lipid ROS, Lpid ROS :+: Ferroptosis, ACSL4 :-: iron chelation, iron chelation :-: Ferroptosis",Validated,0,_NA_,O60488,34053456,_NA_,2/24/2022,FerrDb team,gene with protein product
279DRV,Ferroptosis,PPARG,HGNC:9236,ENSG00000132170,PPARG drives ferroptosis in DCs.,Mice,PPARG :+: Ferroptosis,Validated,0,_NA_,P37231,34478917,_NA_,2/24/2022,FerrDb team,gene with protein product
280DRV,Ferroptosis,TLR4,HGNC:11850,ENSG00000136869,Inhibition of TLR4 prevents the activation of ferroptosis following HIBD.,"Human, rat","TLR4 :-: SLC7A11, SLC7A11 :-: Ferroptosis, TLR4 :-: GPX4, GPX4 :-: Ferroptosis, TLR4 :+: oxidative stress, oxidative stress :+: Ferroptosis, TLR4 :+: mitochondrial injury, mitochondrial injury :+: Ferroptosis",Validated,0,_NA_,O00206,34343528,_NA_,2/24/2022,FerrDb team,gene with protein product
281DRV,Ferroptosis,IL6,HGNC:6018,ENSG00000136244,Interleukin-6 promotes ferroptosis in bronchial epithelial cells by inducing reactive oxygen species-dependent lipid peroxidation and disrupting iron homeostasis.,Human,"IL6 :+: Lipid ROS, Lipid ROS :+: Ferroptosis, IL6 :+: Fe2, Fe2 :+: Ferroptosis",Validated,0,_NA_,P05231,34402724,_NA_,2/24/2022,FerrDb team,gene with protein product
282DRV,Ferroptosis,MIR335,HGNC:31773,ENSG00000199043,miR-335 promotes ferroptosis by targeting ferritin heavy chain 1 in in vivo and in vitro models of Parkinson's disease.,Rat,"miR-335 :-: FTH1, FTH1 :-: iron release, iron release :+: Ferroptosis, miR-335 :-: FTH1, FTH1 :-: Lipid ROS, Lipid ROS :+: Ferroptosis, miR-335 :-: FTH1, FTH1 :+:  mitochondrial membrane potential, mitochondrial membrane potential :-: Ferroptosis",Validated,0,_NA_,_NA_,33649797,_NA_,8/4/2022,FerrDb team,"RNA, micro"
283DRV,Ferroptosis,ATF3,HGNC:785,ENSG00000162772,"However, ATF3 elevated ferroptosis in SGC7901/DDP and BGC823/DDP cells.",Human,"ATF3 :+: Lipid ROS, Lipid ROS :+: Ferroptosis, ATF3 :+: MDA, MDA :+: Ferroptosis, ATF3 :-: GSH, GSH :-: Ferroptosis, ATF3 :-: Nrf2/Keap1 pathway, Nrf2/Keap1 pathway :-: Ferroptosis",Validated,0,_NA_,P18847,34098867,_NA_,2/24/2022,FerrDb team,gene with protein product
284DRV,Ferroptosis,HMOX1,HGNC:5013,ENSG00000100292,Excessive activation of HO-1 via Nrf2–SLC7A11–HO-1 hierarchy contributes to RPE ferroptosis.,Human,"HMOX1 :+: cellular ferrous accumulation, cellular ferrous accumulation :+: Ferroptosis, HMOX1 :+: TFR, TFR :+: iron accumulation, iron accumulation :+: Ferroptosis, HMOX1 :-: SLC40A1, SLC40A1 :-: iron accumulation, iron accumulation :+: Ferroptosis",Validated,0,_NA_,P09601,33895485,HO-1 in article.,3/2/2022,FerrDb team,gene with protein product
285DRV,Ferroptosis,HMGB1,HGNC:4983,ENSG00000189403,"Collectively, these data revealed the suppression of HMGB1 prevents against glucose-induced ferroptosis in mesangial cells.",Mice,"HMGB1 :+: lactate dehydrogenase, lactate dehydrogenase :+: Ferroptosis, HMGB1 :+: Lipid ROS, Lipid ROS :+: Ferroptosis, HMGB1 :+: ACSL4, ACSL4 :+: Ferroptosis, HMGB1 :-: GPX4, GPX4 :-: Ferroptosis, HMGB1 :-: Nrf2, Nrf2 :-: Ferroptosis",Validated,0,_NA_,P09429,33565572,_NA_,3/2/2022,FerrDb team,gene with protein product
286DRV,Ferroptosis,EPAS1,HGNC:3374,ENSG00000116016,D-mannose-induced downregulation of HIF-2α inhibits OA progression through suppressing chondrocyte ferroptosis.,Mice,"EPAS1 :+: MDA, MDA :+: Ferroptosis, EPAS1 :-: GPX4, GPX4 :-: Ferroptosis",Validated,0,_NA_,Q99814,34561933,HIF-2 α in article.,3/2/2022,FerrDb team,gene with protein product
287DRV,Ferroptosis,SNX5,HGNC:14969,ENSG00000089006,Super-enhancer-driven Sorting Nexin 5 expression promotes dopaminergic neuronal ferroptosis in Parkinson's disease models.,Rat,"SNX5 :-: GPX4, GPX4 :-: Ferroptosis, SNX5 :+: Lipid peroxidation, Lipid peroxidation :+: Ferroptosis ",Validated,0,_NA_,Q9Y5X3,34134000,_NA_,3/3/2022,FerrDb team,gene with protein product
288DRV,Ferroptosis,PAQR3,HGNC:30130,ENSG00000163291,PAQR3 aggravated ferroptosis in ALL.,Human,"PAQR3 :+: MDA, MDA :+: Ferroptosis, PAQR3 :+: Fe, Fe :+: Ferroptosis, PAQR3 :-: NRF2, NRF2 :-: Ferroptosis",Validated,0,_NA_,Q6TCH7,33955706,_NA_,3/9/2022,FerrDb team,gene with protein product
289DRV,Ferroptosis,MICU1,HGNC:1530,ENSG00000107745,MICU1 deficiency suppresses cold stress-induced ferroptosis.,Human,"MICU1 :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Validated,0,_NA_,Q9BPX6,33822458,_NA_,3/9/2022,FerrDb team,gene with protein product
290DRV,Ferroptosis,NOX4,HGNC:7891,ENSG00000086991,NOX4 promotes ferroptosis by oxidative stress-induced lipid peroxidation in human astrocytes.,Mice,"NOX4 :-: Mitochondrial respiration ATP production, Mitochondrial respiration ATP production :-: Impaired mitochondrial metabolism, Impaired mitochondrial metabolism :+: Oxidative stress-induced lipid peroxidation, Oxidative stress-induced lipid peroxidation :+: Ferroptosis",Validated,0,_NA_,Q9NPH5,33774476,_NA_,3/9/2022,FerrDb team,gene with protein product
291DRV,Ferroptosis,TOR2A,HGNC:11996,ENSG00000160404,The data clearly demonstrated that salusin-β might be responsible for HG-induced ferroptosis via inhibiting the Nrf-2 signaling pathway.,Human,"TOR2A :+: Lipid ROS, Lpid ROS :+: Ferroptosis, TOR2A :+: MDA, MDA :+: Ferroptosis, TOR2A :-: GSH, GSH :-: Ferroptosis, TOR2A :-: GPX4, GPX4 :-: Ferroptosis, TOR2A :-: SLC7A11, SLC7A11 :-: Ferroptosis, TOR2A :-: FTH-1, FTH-1 :-: Ferroptosis, TOR2A :-: NRF2, NRF2 :-: Ferroptosis",Predicted,0,"Salusins are found to be translated from an alternatively spliced mRNA of torsion dystonia-related gene (TOR2A). Proteolytic processing of prosalusin (216-amino acid) yields two related peptides of 28 and 20 amino acids, termed salusin-α and salusin-β, respectively.",Q5JU69,34296310,_NA_,3/11/2022,FerrDb team,gene with protein product
332DRV,Ferroptosis,MIR375,HGNC:31868,ENSG00000198973,MiR-375 reduces the stemness of gastric cancer cells through triggering ferroptosis.,Human,"MIR375 :-: SLC7A11, SLC7A11 :+: GSH, GSH :-: Ferroptosis, MIR375 :-: SLC7A11, SLC7A11 :+: cysteine, cysteine :-: Ferroptosis",Validate,0,_NA_,_NA_,34090492,_NA_,3/15/2022,FerrDb team,"RNA, micro"
333DRV,Ferroptosis,MAP3K14,HGNC:6853,ENSG00000006062,NIK Acts Cell Autonomously to Promote Hepatocyte Ferroptosis.,Mice,"MAP3K14 :+: Lipid ROS, Lipid ROS :+: Ferroptosis",Validate,0,_NA_,Q99558,34558831,NIK in article.,3/16/2022,FerrDb team,gene with protein product
334DRV,Ferroptosis,SIRT3,HGNC:14931,ENSG00000142082,"Collectively, our studies indicate that SIRT3 functions to inhibit AKT-dependent mitochondrial metabolism and EMT, leading to ferroptosis and tumor suppression.",Human,"SIRT3 :+: ACSL4, ACSL4 :+: Ferroptosis",Validate,0,_NA_,Q9NTG7,33872694,_NA_,3/16/2022,FerrDb team,gene with protein product
343DRV,Ferroptosis,CircKDM4C,_NA_,_NA_,CircKDM4C upregulates P53 by sponging hsa-let-7b-5p to induce ferroptosis in acute myeloid leukemia.,"Human, mice","CircKDM4C :-: hsa-let-7b-5p, hsa-let-7b-5p :-: P53, P53 :+: Ferroptosis",Validated,0,_NA_,_NA_,33733556,_NA_,3/20/2022,FerrDb team,circular RNA
344DRV,Ferroptosis,MIR324,HGNC:31767,ENSG00000199053,miR-324-3p reverses cisplatin resistance by inducing GPX4-mediated ferroptosis in lung adenocarcinoma cell line A549.,Human,"MIR324 :-: GPX4, GPX4 :-: Ferroptosis",Validated,0,_NA_,_NA_,33662669,_NA_,3/21/2022,FerrDb team,"RNA, micro"
345DRV,Ferroptosis,QSOX1,HGNC:9756,ENSG00000116260,QSOX1 promotes sorafenib-induced ferroptosis by downregulating NRF2 in HCC cells.,Human,"QSOX1 :-: EGFR, EGFR :+: NRF2, NRF2 :-: Ferroptosis",Validated,0,_NA_,O00391,33770521,_NA_,3/21/2022,FerrDb team,gene with protein product
346DRV,Ferroptosis,MIB2,HGNC:30577,ENSG00000197530,Knockdown of MIB2 alleviated neuron death and ferroptosis induced by sevoflurane exposure.,Mice,"MIB2 :-: GPX4, GPX4 :-: Ferroptosis",Validated,0,_NA_,Q96AX9,34121396,_NA_,3/21/2022,FerrDb team,gene with protein product
347DRV,Ferroptosis,CLTRN,HGNC:29437,ENSG00000147003,"CLTRN overexpression can increase ferroptosis in HCC, and CLTRN can enhance the radiosensitivity of HCC cells through the ferroptosis pathway.",Human,"CLTRN :+: Lipid ROS, Lipid ROS :+: Ferroptosis, CLTRN :+: Fe2+, Fe2+ :+: Ferroptosis, CLTRN :-: GSH, GSH :-: Ferroptosis, CLTRN :-: GPX4, GPX4 :-: Ferroptosis, CLTRN :-: SLC7A11, SLC7A11 :-: Ferroptosis, CLTRN :-: FTH1, FTH1 :-: Ferroptosis, CLTRN :+: ACSL4, ACSL4 :+: Ferroptosis, CLTRN :+: PTGS2, PTGS2 :+: Ferroptosis, CLTRN :+: NOX1, NOX1 :+: Ferroptosis",Validated,0,_NA_,Q9HBJ8,33508374,_NA_,3/21/2022,FerrDb team,gene with protein product
348DRV,Ferroptosis,KLF2,HGNC:6347,ENSG00000127528,"Mechanistically, KLF2 deficiency is sufficient to inhibit ferroptosis on account of the impairment of transcriptional repression of GPX4 and thus promotes the migration and invasion of RCC cells.",Human,"KLF2 :-: GPX4, GPX4 :-: Ferroptosis",Validated,0,_NA_,Q9Y5W3,34520818,_NA_,3/21/2022,FerrDb team,gene with protein product
349DRV,Ferroptosis,MIR5096,HGNC:41611,_NA_,Ectopically expressed miR-5096 causes ferroptotic cell death by elevating iron accumulation and oxidation of GSH but decreases MMP.,Human,"MIR5096 :-: SLC7A11, SLC7A11 :-: Ferroptosis",Validated,0,MIR5096 record in HGNC has been withdrawn.,_NA_,34571083,_NA_,3/21/2022,FerrDb team,"RNA, micro"
350DRV,Ferroptosis,TFRC,HGNC:11763,ENSG00000072274,"In conclusion, TFRC increased the iron content, mediated the release of ROS, activated mitophagy, and induced lipid peroxidation, which further promoted the ferroptosis of KGN cells.",Mice,"TFRC :+: iron content, iron content :+: NOX1, NOX1 :+: Lipid ROS, Lipid ROS :+: Ferroptosis, TFRC :+: PINK1, PINK1 :+: mitophagy, mitophagy :+: ACSL4, ACSL4 :+: Ferroptosis, TFRC :+: PINK1, PINK1 :+: mitophagy, mitophagy :-: GPX4, GPX4 :-: Ferroptosis",Validated,0,_NA_,P02786,34369274,_NA_,3/21/2022,FerrDb team,gene with protein product
